system,case_id,majority_method,majority_correct,mean_correct,n_reps,rep_agreement,unanimous,gold_is_abstention,chose_abstention,unsafe_selection
C_protocol,syn_abstain_zero_inflated_4,negative_binomial,False,0.0,2,1.0,True,True,False,True
C_protocol,syn_anova_1,one_way_anova,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_anova_2,welch_anova,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_chi_square_2,chi_square,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_chi_square_3,chi_square,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_fisher_2,fisher_exact,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_kruskal_2,kruskal_wallis,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_logistic_1,logistic,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_logistic_2,logistic,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_logistic_3,logistic,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_mann_whitney_2,mann_whitney,False,0.0,2,1.0,True,False,False,False
C_protocol,syn_mann_whitney_3,mann_whitney,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_negbin_2,negative_binomial,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_negbin_3,negative_binomial,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_ols_2,ols,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_ols_3,ols,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_ols_4,ols,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_pearson_1,pearson,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_pearson_2,pearson,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_pearson_3,pearson,True,0.5,2,0.5,False,False,False,False
C_protocol,syn_poisson_1,poisson,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_poisson_2,poisson,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_spearman_2,pearson,False,0.5,2,0.5,False,False,False,False
C_protocol,syn_spearman_3,pearson,False,0.0,2,1.0,True,False,False,False
C_protocol,syn_student_t_2,student_t,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_student_t_3,welch_t,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_welch_anova_2,welch_anova,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_welch_anova_3,welch_anova,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_welch_t_2,welch_t,True,1.0,2,1.0,True,False,False,False
C_protocol,syn_welch_t_3,student_t,True,1.0,2,0.5,False,False,False,False
C_protocol,syn_welch_t_4,welch_t,True,1.0,2,1.0,True,False,False,False
